eventCode,shortName,week,month,semester,year,startDate,finishDate,startTime,endTime,project,individualsNEEDED,milestone,status,PreCovidDATE,References,attachment,cost,DateDue,Chapter,Focus,Abstract,Structure,GeneralDesc,Tasks ,Notes,AntCOMS,Bernds Comments,Richards Comments,costCentre
phd20200701004,tidyPipesPhD,,october,,2020,1/3/2020,8/10/2019,,,PhD,Anthony,PhDmilestone 5,On Target,1/3/2020,,NA,NA,NA,1,NA,NA,NA,key tasks, draft MPD paper2 case study results?,,NA,NA,NA,
fundphd000,scholarship1,,april,s2,2016,7/4/2016,7/9/2019,,,PhD,Anthony,PhDmilestone 37,Complete,7/9/2019,./data/pdfs/,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,cc2291
fundphd001,scholarship2sick,,march,s1,2018,8/3/2019,7/6/2019,,,PhD,Anthony,PhDmilestone 38,Complete,7/6/2019,./data/pdfs/,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,cc2291
fundphd002,scholarship3,,june,all,2019,8/6/2019,30/05/2020,,,PhD,Anthony,PhDmilestone 39,Complete,30/05/2020,./data/pdfs/,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,cc7858
phd20200701010,FINALseminar,,november,,2020,11/1/2020,11/1/2020,10:00,11:00,PhD,Anthony,PhDmilestone 11,On Target,1/11/2019,,NA,NA,NA,all,NA,NA,NA,key tasks,,Final talk for my PhD work,NA,NA,NA,
covid20200000,councilExtra,,february,,2020,17/02/2020,28/02/2020,,,Council,Anthony,Councilmilestone1,Impact,1/3/2020,,Council mentions Covid19 and this issue was highlighted in several comments in council meeting ,NA,NA,all,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200005,councilExtra,,march,,2020,11/3/2020,13/04/2020,,,Council,Anthony,PhDmilestone 31,Impact,1/5/2020,,Setup home office,NA,NA,all,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200003,councilExtra,,march,,2020,31/03/2020,31/03/2020,,,Council,Anthony,PhDmilestone 29,Impact,8/11/2019,,Additional meeting for council,NA,NA,all,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200001,councilExtra,,april,,2020,21/04/2020,31/04/2020,,,Council,Anthony,PhDmilestone 27,Impact,6/11/2019,,Issues with Protorical. I highlighted this and had detailed discussions with Chancollor over the matter.,NA,NA,all,NA,NA,NA,Council training,NA,NA,NA,NA,NA,
nature20200701001,tidyPipesPhD,,july,,2020,31/07/2020,31/07/2020,,,Pubs,Anthony,PhDmilestone 17,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,NA,NA,NA,key pay,Introduction,NA,Uniique problem because no mammals before humans,NA,NA,
expense1,RENT271bond,,june,,2020,17/06/2020,17/06/2020,15:00,15:00,finances,Anthony,Lifemilestone2,At Risk,17/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,,bond (half only),NA,NA,NA,
expense2,RENT271,,june,,2020,18/06/2020,18/06/2020,15:00,15:00,finances,Anthony,Lifemilestone3,Complete,18/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense3,RENT271,,june,,2020,19/06/2020,19/06/2020,15:00,15:00,finances,Anthony,Lifemilestone4,Complete,19/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense4,RENT271,,june,,2020,20/06/2020,20/06/2020,15:00,15:00,finances,Anthony,Lifemilestone5,Complete,20/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense5,RENT271,,june,,2020,21/06/2020,21/06/2020,15:00,15:00,finances,Anthony,Lifemilestone6,Complete,21/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense6,power271,,july,,2020,22/06/2020,22/06/2020,15:00,15:00,finances,Anthony,Lifemilestone7,At Risk,22/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,quarterly powerbill,NA,NA,NA,NA,
expense7,gas271,,july,,2020,23/06/2020,23/06/2020,15:00,15:00,finances,Anthony,Lifemilestone8,At Risk,23/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,6month gas bill?,NA,NA,NA,NA,
expense8,internet271,,july,,2020,24/06/2020,24/06/2020,15:00,15:00,finances,Anthony,Lifemilestone9,At Risk,24/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,internet orginally covered by brendan,NA,NA,NA,NA,
expense9,power271,,september,,2020,25/06/2020,25/06/2020,15:00,15:00,finances,Anthony,Lifemilestone10,At Risk,25/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,quarterly powerbill,NA,NA,NA,
expense10,gas271,,september,,2020,26/06/2020,26/06/2020,15:00,15:00,finances,Anthony,Lifemilestone11,At Risk,26/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,6month gas bill?,NA,NA,NA,
expense11,internet271,,september,,2020,27/06/2020,27/06/2020,15:00,15:00,finances,Anthony,Lifemilestone12,At Risk,27/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,New internet plan?,NA,NA,NA,
expense12,internet271,,august,,2020,28/06/2020,28/06/2020,15:00,15:00,finances,Anthony,Lifemilestone13,At Risk,28/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,internet orginally covered by brendan,NA,NA,NA,NA,
expense13,internet271,,june,,2021,29/06/2020,29/06/2020,15:00,15:00,finances,Anthony,Lifemilestone39,Complete,29/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,internet orginally covered by brendan,NA,NA,NA,
repayTIME1,daveChoqScholarship,,june,,2020,30/06/2020,30/06/2020,15:00,15:00,finances,Anthony,Lifemilestone14,Complete,30/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
phd20200701001,FullPhDleft,,july,,2020,1/7/2020,31/12/2020,9:00,15:00,PhD,Anthony,PhDmilestone 1,On Target,31/07/2020,,NA,NA,31/12/2020,all,NA,NA,NA,phdLength,Just the full length of time I think I will need to finish my PhD project,,NA,NA,NA,
repayTIME2,daveChoqScholarship,,june,,2020,1/7/2020,1/7/2020,15:00,15:00,finances,Anthony,Lifemilestone15,Complete,1/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME3,daveChoqScholarship,,march ,,2020,2/7/2020,2/7/2020,15:00,15:00,finances,Anthony,Lifemilestone16,Complete,2/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME4,daveChoqScholarship,,march,,2020,3/7/2020,3/7/2020,15:00,15:00,finances,Anthony,Lifemilestone17,Complete,3/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME5,daveChoqScholarship,,april,,2020,4/7/2020,4/7/2020,15:00,15:00,finances,Anthony,Lifemilestone18,Complete,4/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense12,power271,,march,,2020,5/7/2020,5/7/2020,15:00,15:00,finances,Anthony,Lifemilestone19,Complete,5/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense13,gas271,,march,,2020,6/7/2020,6/7/2020,15:00,15:00,finances,Anthony,Lifemilestone20,Complete,6/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
phd20200701013,ScholarShip_end,,june,,2020,7/7/2020,,9:00,15:00,PhD,Anthony,PhDmilestone 2,Stress,2/11/2019,,NA,NA,NA,all,When my scholarship finished,NA,NA,key tasks, finish beech draft,Currently with Richard,NA,NA,NA,
expense14,internet271,,march,,2020,7/7/2020,7/7/2020,15:00,15:00,finances,Anthony,Lifemilestone21,Complete,7/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense15,power271,,december,,2020,8/7/2020,8/7/2020,15:00,15:00,finances,Anthony,Lifemilestone22,On Target,8/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense16,gas271,,december,,2020,9/7/2020,9/7/2020,15:00,15:00,finances,Anthony,Lifemilestone23,On Target,9/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense17,internet271,,december,,2020,10/7/2020,10/7/2020,15:00,15:00,finances,Anthony,Lifemilestone24,On Target,10/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense18,power271,,august,,2019,11/7/2020,11/7/2020,15:00,15:00,finances,Anthony,Lifemilestone25,On Target,11/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense19,gas271,,august,,2019,12/7/2020,12/7/2020,15:00,15:00,finances,Anthony,Lifemilestone26,On Target,12/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense20,internet271,,august,,2019,13/07/2020,13/07/2020,15:00,15:00,finances,Anthony,Lifemilestone27,On Target,13/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME6,daveChoqScholarship,,march,,2020,14/07/2020,14/07/2020,15:00,15:00,finances,Anthony,Lifemilestone28,Complete,14/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME7,daveChoqScholarship,,march,,2020,15/07/2020,15/07/2020,15:00,15:00,finances,Anthony,Lifemilestone29,Complete,15/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME8,daveChoqScholarship,,april,,2020,16/07/2020,16/07/2020,15:00,15:00,finances,Anthony,Lifemilestone30,Complete,16/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME9,daveChoqScholarship,,april,,2020,17/07/2020,17/07/2020,15:00,15:00,finances,Anthony,Lifemilestone31,Complete,17/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME10,daveChoqScholarship,,april,,2020,18/07/2020,18/07/2020,15:00,15:00,finances,Anthony,Lifemilestone32,Complete,18/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME11,daveChoqScholarship,,may,,2020,19/07/2020,19/07/2020,15:00,15:00,finances,Anthony,Lifemilestone33,Complete,19/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME12,daveChoqScholarship,,may,,2020,20/07/2020,20/07/2020,15:00,15:00,finances,Anthony,Lifemilestone34,Complete,20/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME13,daveChoqScholarship,,may,,2020,21/07/2020,21/07/2020,15:00,15:00,finances,Anthony,Lifemilestone35,Complete,21/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME14,daveChoqScholarship,,march,,2020,22/07/2020,22/07/2020,15:00,15:00,finances,Anthony,Lifemilestone36,Complete,22/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME15,daveChoqScholarship,,march,,2020,23/07/2020,23/07/2020,15:00,15:00,finances,Anthony,Lifemilestone37,Complete,23/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
phd20200701013,tidyPipesPhD,,may,,2020,,,,,PhD,Anthony,PhDmilestone 14,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,NA,NA,NA,key tasks,Introduction,Comments on reproducibility,General literauture points to:,"I guess the most important ""function"" of this chapter is the literature on mesopredator system and how they are modellng (broader than only the NZ case). So here I would start very broad and finish with a description of your case and how it is placed in the literature and where it adds new findings (closes gaps)",NA,
repayTIME16,daveChoqScholarship,,april,,2020,24/07/2020,24/07/2020,15:00,15:00,finances,Anthony,Lifemilestone38,Complete,24/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME17,daveChoqScholarship,,april,,2020,25/07/2020,25/07/2020,15:00,15:00,finances,Anthony,Lifemilestone40,Complete,25/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense21,RENT271bond,,june,,2020,26/07/2020,26/07/2020,15:00,15:00,finances,Brendan,Lifemilestone64,Impact,26/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,bond (half only),NA,NA,NA,NA,
expense22,RENT271,,june,,2020,27/07/2020,27/07/2020,15:00,15:00,finances,Brendan,Lifemilestone65,Impact,27/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,half monthly rent,NA,NA,NA,NA,
expense23,RENT271,,june,,2020,28/07/2020,28/07/2020,15:00,15:00,finances,Brendan,Lifemilestone66,Impact,28/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,half monthly rent,NA,NA,NA,NA,
expense24,RENT271,,june,,2020,29/07/2020,29/07/2020,15:00,15:00,finances,Brendan,Lifemilestone67,Impact,29/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,half monthly rent,NA,NA,NA,NA,
expense25,RENT271,,june,,2020,30/07/2020,30/07/2020,15:00,15:00,finances,Brendan,Lifemilestone68,Impact,30/07/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,half monthly rent,NA,NA,NA,NA,
phd20200701013,tidyPipesPhD,,march,,2020,,,,,PhD,Anthony,PhDmilestone 15,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,NA,NA,NA,key tasks,Introduction,Comment to nature draft attached,NZ has huge amount of research,NA,NA,
phd20200701013,tidyPipesPhD,,june,,2020,,,,,PhD,Anthony,PhDmilestone 16,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,NA,NA,NA,key tasks,Introduction,Sent to collaborators and supervisors,Unexpected outcomes not that uncommon,NA,NA,
nature20220070100,stressPhD,,july,,2020,31/07/2020,31/07/2020,,,Pubs,Anthony,PhDmilestone 18,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,To collect literature on New Zealand invasive species dynamics and use the hypotheses proposed in the literature to develop a Bayesian modelling framework that incorporates both the proposed ecological processes (e.g. predation) and observation error (e.g. estimating population size) into models of New Zealand invasive species dynamics.,NA,NA,key pay,NZ invasive species database,NA,"models of abundance, rates or density",generally what do we know in NZ  in relation to resource pressure,NA,
phd20200701009,BeechManuscript,,july,,2019,,,,,Stress,Anthony,PhDmilestone 21,On Target,8/11/2019,,Beech forest paper,NA,NA,3,"Compare the importance of bottom-up and top-down processes in regulating invasive species in New Zealand forests. I have a case study in a pure beech forest system to model these relationships with data. This will focus on how mouse populations respond to changes in resources, predator abundance and interspecific competition.",NA,NA,key tasks,Beech forest modelling,Done,NA,NA,NA,
phd20200701013,InvasiveSPPDatabase,,july,,2020,31/07/2020,31/07/2020,,,PhD,Anthony,PhDmilestone 19,Underway,8/11/2019,,Paper one: NZ database using AI??,NA,NA,2,Invasive species modelling database,NA,NA,key tasks,NZ invasive species database,Have tidyPipes approach documented and applied here,NA,not sure what you want to write here (maybe not 100% necessary?),NA,
phd20200701013,stressPhD,,august,,2020,31/07/2020,31/07/2020,,,PhD,Anthony,PhDmilestone 20,Underway,8/11/2019,,Paper two: Nature reproducibility comment,NA,NA,1,Reproducing science and why it is important to PFNZ 2050,NA,NA,key tasks,Reproducibility in PFNZ,Working on draft currently,NA,"also cannot see how this fits, also would park it at the moment if not convinced otherwise",NA,
phd20200701009,Repropaper,,june,,2020,1/6/2020,20/06/2020,9:00,15:00,PhD,Anthony,PhDmilestone 10,Complete,1/5/2020,,NA,NA,NA,1,NA,NA,NA,key tasks,Graduate approach to reproducibility,On back burner,NA,NA,NA,
phd20200701005,natureMANUSCRIPT,,july,,2020,1/11/2020,11/5/2019,9:00,15:00,PhD,Anthony,PhDmilestone 6,Rejected,6/11/2019,,NA,NA,NA,1,NA,NA,NA,key tasks,submit new 300 word comment.,Rejected,NA,NA,NA,
phd20200701007,MPDmanuscript,,december,,2019,31/07/2019,31/07/2020,,,PhD,Anthony,PhDmilestone 22,On Target,31/07/2020,,mpd paper,NA,NA,4,"Beech/podocarp-hardwood forests are more complex with higher abundances of possums, meaning processes like competition between rodents and possums may influence how populations respond to species removal. I will examine the role of top-down (predator removal) and bottom-up (food availability and competition for food resources) processes in regulating species abundances using a larger, more extensive dataset from podocarp/hardwood forests in the North Island, New Zealand (Chapter Three). ",NA,NA,key tasks,MPD modelling,Begin finalising mid-August from this work last year,NA,NA,NA,
phd20200701008,MPDmanuscript,,april,,2020,,31/03/2020,,,PhD,Anthony,PhDmilestone 23,On Target,2/11/2019,,large scale pest control outcomes study,NA,NA,5,"Once the key drivers are identified for different forest types, a third, mixed forest dataset from the Tararua Ranges will be used to examine the effects of removing different invasive species on the responses of native species over time.",NA,NA,key tasks,DOC modelling,,NA,NA,NA,
phd20200701010,MPDmanuscript,,august,,2020,31/07/2020,31/07/2020,,,PhD,Anthony,PhDmilestone 24,On Target,5/11/2019,,enviro and demo issues paper,NA,NA,5,"Overall, this research aims to inform managers of the potential for complex interactions between invasive species to result in unanticipated management outcomes, and to design management approaches to minimise this (Chapter Five).",NA,NA,key tasks,Effects of not accounting for observation and process error correctly,,NA,I would use this chapter for two things. Combine all your findings of chapter 2-4 and based on this derive management recommendations and identify future directions.,NA,
phd20200701011,MPDmanuscript,,september,,2020,31/07/2020,31/07/2020,,,PhD,Anthony,PhDmilestone 25,On Target,1/4/2020,,NA,NA,NA,4,NA,Thesis discussion,Discussion and future direction,key tasks,phd20200701009,,NA,NA,NA,
fundphd003,scholarship4work,,september,,2021,1/8/2020,1/9/2021,,,PhD,Anthony,PhDoption 40,Stress,30/05/2020,,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,workingSTATs
fundphd004,scholarship5three,,june,,2021,1/8/2020,30/06/2021,,,PhD,Anthony,PhDoption 41,Stress,30/05/2020,,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,covid
fundphd005,scholarship6six,,january,,2021,1/8/2020,31/01/2021,,,PhD,Anthony,PhDoption 42,Stress,30/05/2020,,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,covid
phd20200701008,MPDmanuscript,,august,,2020,15/08/2020,15/09/2020,9:00,15:00,PhD,Anthony,PhDmilestone 9,On Target,9/11/2019,,NA,NA,NA,4,"Second manuscript to PhD on mixed bayesian models. Once the key drivers are identified for different forest types, a third, mixed forest dataset from the Tararua Ranges will be used to examine the effects of removing different invasive species on the responses of native species over time.",NA,NA,key tasks,MPD paper1 comments ready for feedback and assessment on whether to take 6months off to hand in or not? ,HOPEFULLY timeframes are optomidtic at best,NA,NA,NA,
phd20200701002,MethodsPhD,,august,,2020,1/8/2020,3/8/2020,9:00,15:00,PhD,Anthony,PhDmilestone 3,On Target,5/11/2019,,NA,NA,NA,1,The core methods papers in the final drafts ready for submission. Reproducibility framework (tidyPipes) and the invasive nz mamals database.,NA,NA,key tasks,2020 draft MPD paper1 simulation and/or case study results? ,This progress on this is underway,NA,NA,NA,
phd20200701011,WorkINprogress,,august,,2020,15/08/2020,15/09/2020,9:00,15:00,PhD,Anthony,PhDmilestone 12,On Target,1/2/2020,,NA,NA,NA,all,Work in Progress seminar,NA,NA,key tasks,Adapt presentation from current draft,Just waiting on when is best for this,NA,NA,NA,
phd20200701012,GEM seminar,,august,,2020,21/08/2020,21/08/2020,9:00,15:00,PhD,Anthony,PhDmilestone 13,On Target,1/5/2020,,calendar_outlook,NA,NA,all,NA,NA,NA,Departmental seminar,This is a regular internal seminar all students give a few times a year,Booked already,NA,NA,NA,
phd20200701013,InvasiveSPPdatabase,,august,,2020,11/8/2020,11/8/2020,9:00,15:00,PhD,Anthony,PhDmilestone 53,At Risk,11/11/2019,,www.github.com/davan690/InvasiveDB/,NA,NA,2,Base of introduction and formal database of resources,NA,NA,key tasks,tidyPipes structure needed to make this work,This is a long-term project that has progressed during my PhD,NA,NA,NA,
phd20200701003,DiscussionPhDleft,,october,,2020,1/9/2020,6/3/2020,9:00,15:00,PhD,Anthony,PhDmilestone 4,On Target,1/4/2020,,NA,NA,NA,6,NA,NA,NA,key tasks,Working on this in conjunction with first and final thesis chapters around the value of computational reproducibility at a national scale like PFNZ2050,Building the wrapping publication on the application of the invasive species database for community groups and researchers.,NA,NA,NA,
phd20200701007,BeechManuscript,,november,,2019,1/11/2020,15/08/2020,9:00,15:00,PhD,Anthony,PhDmilestone 8,Richard,8/11/2019,,NA,NA,NA,3,NA,NA,NA,key tasks,Introduction circulated submit mpd paper1,Beech paper manuscript with Richard Currently,NA,NA,NA,
covid20200002,councilExtra,,november,,2020,17/11/2020,22/11/2020,,,PhD,Anthony,PhDmilestone 28,Impact,7/11/2019,,Training at Hyatt,NA,NA,all,NA,NA,NA,Meeting,,,NA,NA,NA,
phd20200701006,submit,,december,,2020,31/12/2020,31/12/2018,9:00,15:00,PhD,Anthony,PhDmilestone 7,Critical,7/11/2019,,NA,NA,NA,all,NA,NA,NA,key tasks,DONE ON THIS DAY…,,NA,NA,NA,
covid20200004,councilExtra,,april,,2020,31/04/2020,31/04/2020,,,Council,Anthony,PhDmilestone 30,Impact,9/11/2019,,Additional meeting for council,NA,NA,all,NA,NA,NA,Council training,NA,NA,NA,NA,NA,
world20200010,councilExtra,,august,,2020,31/04/2020,31/04/2020,,,Council,Anthony,Councilmilestone1,On Target,31/04/2020,,Personal stress,NA,NA,NA,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200007,councilExtra,,july,,2020,31/04/2020,31/04/2020,,,Council,Anthony,Councilmilestone1,Impact,1/2/2020,,Personal stress,NA,NA,NA,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
world20200009,councilExtra,,July,,2020,31/04/2020,31/04/2020,,,Council,Anthony,PhDmilestone 35,On Target,31/04/2020,,Personal stress,NA,NA,NA,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200006,councilExtra,,June,,2020,31/04/2020,31/04/2020,,,Council,Anthony,PhDmilestone 32,Impact,1/11/2019,,Personal stress,NA,NA,NA,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200008,councilExtra,,may,,2020,31/04/2020,31/04/2020,,,Council,Anthony,PhDmilestone 34,Impact,1/5/2020,,Personal stress,NA,NA,NA,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
